"site","site_id","duration","n_stations","H1","homog_status","chosen_dist","chosen_absZ","Z_acceptable","selection_source","reviewer","runner_up","runner_up_absZ","z_margin","review_recommended","depth_10k_mm","tail_min_10k_mm","tail_max_10k_mm","tail_spread_pct","needs_review"
"HUNGRY HORSE","MT00565","24h",42,0.264,"homogeneous","GLO",1.252,TRUE,"auto",NA,"GEV",2.812,1.56,FALSE,244.4,99.2,244.4,59.4,FALSE
"HUNGRY HORSE","MT00565","72h",42,0.546,"homogeneous","GEV",0.639,TRUE,"auto",NA,"GNO",1.64,1.001,FALSE,257.2,149.7,377.8,88.7,FALSE
"THEODORE ROOSEVELT","AZ10317","24h",47,-0.088,"homogeneous","GLO",1.506,TRUE,"auto",NA,"GEV",2.788,1.282,FALSE,303,121.3,303,60,FALSE
"THEODORE ROOSEVELT","AZ10317","72h",47,0.357,"homogeneous","GEV",0.149,TRUE,"auto",NA,"GNO",1.217,1.068,FALSE,322.8,182.5,479,91.9,FALSE
"ELEPHANT BUTTE","NM00129","24h",42,0.398,"homogeneous","GEV",0.778,TRUE,"auto",NA,"GNO",1.681,0.903,FALSE,162.8,93.5,242.8,91.7,FALSE
"ELEPHANT BUTTE","NM00129","72h",40,0.912,"homogeneous","GEV",1.925,FALSE,"auto",NA,"GLO",2.368,0.443,TRUE,179.5,107.3,269,90.1,TRUE
"TRINITY","CA10196","24h",42,0.823,"homogeneous","GEV",2.134,FALSE,"auto",NA,"GNO",2.513,0.379,TRUE,241.1,152.3,355.8,84.4,TRUE
"TRINITY","CA10196","72h",41,0.866,"homogeneous","GEV",1.439,TRUE,"auto",NA,"GNO",1.789,0.35,TRUE,425.3,265.1,633.1,86.5,FALSE
"SANFORD","TX00023","24h",44,0.053,"homogeneous","GEV",1.995,FALSE,"auto",NA,"GLO",2.198,0.203,TRUE,266.3,152.7,395.5,91.1,TRUE
"SANFORD","TX00023","72h",43,-1.797,"homogeneous","GEV",1.862,FALSE,"auto",NA,"GNO",2.575,0.713,TRUE,291.4,173.1,434.7,89.8,TRUE
"NEW MELONES","CA10246","24h",46,0.369,"homogeneous","GEV",0.275,TRUE,"auto",NA,"GNO",1.401,1.126,FALSE,368.3,208.8,543.1,90.8,FALSE
"NEW MELONES","CA10246","72h",44,0.659,"homogeneous","GEV",0.248,TRUE,"auto",NA,"GNO",1.432,1.184,FALSE,669.4,367.4,993.4,93.5,FALSE
"B. F. SISK","CA10183","24h",27,-0.274,"homogeneous","GEV",0.835,TRUE,"auto",NA,"GNO",1.761,0.926,FALSE,360.7,206.2,530.8,90,FALSE
"B. F. SISK","CA10183","72h",27,-0.983,"homogeneous","GEV",1.376,TRUE,"auto",NA,"GLO",1.59,0.214,TRUE,678.2,371.4,1002.3,93,FALSE
"NAVAJO","NM00120","24h",42,0.45,"homogeneous","GEV",0.537,TRUE,"auto",NA,"GNO",1.276,0.739,FALSE,121,72.6,179.1,88.1,FALSE
"NAVAJO","NM00120","72h",40,0.7,"homogeneous","GLO",2.192,FALSE,"auto",NA,"GEV",2.722,0.53,TRUE,196.7,85.8,196.7,56.4,TRUE
"MONTICELLO","CA10170","24h",39,0.516,"homogeneous","GEV",0.122,TRUE,"auto",NA,"GNO",1.057,0.935,FALSE,455.5,265.6,671.5,89.1,FALSE
"MONTICELLO","CA10170","72h",40,-1.646,"homogeneous","GNO",0.464,TRUE,"auto",NA,"GEV",0.75,0.286,TRUE,871.2,517.6,1386.9,99.8,FALSE
"DAVIS BOR","AZ10309","24h",26,0.483,"homogeneous","GLO",0.346,TRUE,"auto",NA,"GEV",2.392,2.046,FALSE,286,106.1,286,62.9,FALSE
"DAVIS BOR","AZ10309","72h",26,0.916,"homogeneous","GEV",1.512,TRUE,"auto",NA,"GLO",1.519,0.007,TRUE,223.9,126.3,337.4,94.3,FALSE
"BOYSEN","WY01299","24h",35,0.744,"homogeneous","GEV",1.139,TRUE,"auto",NA,"GNO",1.82,0.681,FALSE,128.3,75.2,192.5,91.4,FALSE
"BOYSEN","WY01299","72h",31,0.742,"homogeneous","GEV",0.183,TRUE,"auto",NA,"GNO",0.244,0.061,TRUE,152.2,91,229.8,91.2,FALSE
"TIBER","MT00579","24h",49,0.655,"homogeneous","GNO",0.059,TRUE,"auto",NA,"GEV",1.273,1.214,FALSE,172.4,101.9,273,99.2,FALSE
"TIBER","MT00579","72h",47,0.811,"homogeneous","GNO",0.209,TRUE,"auto",NA,"GEV",1.24,1.031,FALSE,208.4,122.4,321.8,95.7,FALSE
"DRY FALLS DAM & POWERPLANT","WA00261","24h",45,0.978,"homogeneous","GEV",0.619,TRUE,"auto",NA,"GNO",1.489,0.87,FALSE,193.3,115.4,283,86.7,FALSE
"DRY FALLS DAM & POWERPLANT","WA00261","72h",47,0.996,"homogeneous","GEV",1.787,FALSE,"auto",NA,"GNO",2.369,0.582,TRUE,280,172.2,411.8,85.6,TRUE
"NORTH","WA00266","24h",41,0.769,"homogeneous","GEV",1.4,TRUE,"auto",NA,"GNO",2.275,0.875,FALSE,167.4,99.2,244.7,86.9,FALSE
"NORTH","WA00266","72h",42,1.083,"acceptably homogeneous (H1 in [1,2))","GLO",1.613,TRUE,"auto",NA,"GEV",2.244,0.631,FALSE,337.9,138.7,337.9,59,FALSE
"OWYHEE","OR00582","24h",46,0.915,"homogeneous","GEV",1.978,FALSE,"auto",NA,"GLO",2.294,0.316,TRUE,104.6,61.5,153.5,88,TRUE
"OWYHEE","OR00582","72h",44,0.731,"homogeneous","GEV",0.802,TRUE,"auto",NA,"GNO",1.243,0.441,TRUE,112.3,71.3,165,83.4,FALSE
"GLEN ELDER","KS00021","24h",39,0.011,"homogeneous","GEV",0.639,TRUE,"auto",NA,"GNO",1.912,1.273,FALSE,307,172.2,452,91.2,FALSE
"GLEN ELDER","KS00021","72h",39,-0.084,"homogeneous","GEV",1.143,TRUE,"auto",NA,"GNO",1.777,0.634,FALSE,270.4,166,400.6,86.7,FALSE
"PATHFINDER DIKE","WY01295","24h",39,0.805,"homogeneous","GLO",1.179,TRUE,"auto",NA,"GEV",1.854,0.675,FALSE,255.9,94.6,255.9,63,FALSE
"PATHFINDER DIKE","WY01295","72h",36,1.024,"acceptably homogeneous (H1 in [1,2))","GEV",1.02,TRUE,"auto",NA,"GNO",1.831,0.811,FALSE,190.3,107.5,284,92.7,FALSE
"BOR SOLDIER CREEK","UT10135","24h",34,0.716,"homogeneous","GEV",1.589,TRUE,"auto",NA,"GNO",2.139,0.55,FALSE,117.1,72.1,172.2,85.5,FALSE
"BOR SOLDIER CREEK","UT10135","72h",40,0.635,"homogeneous","GLO",0.932,TRUE,"auto",NA,"GEV",2.719,1.787,FALSE,269.9,108.2,269.9,59.9,FALSE
"GLENDO DIKE NO. 2","WY01486","24h",40,0.518,"homogeneous","GLO",0.996,TRUE,"auto",NA,"GEV",2.52,1.524,FALSE,263.1,100,263.1,62,FALSE
"GLENDO DIKE NO. 2","WY01486","72h",39,0.527,"homogeneous","GLO",1.315,TRUE,"auto",NA,"GEV",2.418,1.103,FALSE,319.4,122.3,319.4,61.7,FALSE
"GLENDO DIKE NO. 1","WY01485","24h",40,0.508,"homogeneous","GLO",0.993,TRUE,"auto",NA,"GEV",2.503,1.51,FALSE,263.1,100,263.1,62,FALSE
"GLENDO DIKE NO. 1","WY01485","72h",39,0.523,"homogeneous","GLO",1.319,TRUE,"auto",NA,"GEV",2.414,1.095,FALSE,319.4,122.3,319.4,61.7,FALSE
"GLENDO DIKE NO. 3","WY01487","24h",41,0.502,"homogeneous","GLO",0.909,TRUE,"auto",NA,"GEV",2.665,1.756,FALSE,253.1,97.3,253.1,61.5,FALSE
"GLENDO DIKE NO. 3","WY01487","72h",41,0.383,"homogeneous","GLO",1.23,TRUE,"auto",NA,"GEV",2.714,1.484,FALSE,299.9,117,299.9,61,FALSE
"FOLSOM RIGHT WING","CA10148","24h",54,-0.39,"homogeneous","GEV",0.468,TRUE,"auto",NA,"GNO",0.694,0.226,TRUE,419.5,242.9,618.7,89.6,FALSE
"FOLSOM RIGHT WING","CA10148","72h",52,-0.64,"homogeneous","GEV",0.815,TRUE,"auto",NA,"GNO",1.956,1.141,FALSE,773.5,436.8,1150.3,92.2,FALSE
"GLENDO DIKE NO. 1","WY01291","24h",40,0.518,"homogeneous","GLO",0.996,TRUE,"auto",NA,"GEV",2.52,1.524,FALSE,263.1,100,263.1,62,FALSE
"GLENDO DIKE NO. 1","WY01291","72h",39,0.527,"homogeneous","GLO",1.315,TRUE,"auto",NA,"GEV",2.418,1.103,FALSE,319.4,122.3,319.4,61.7,FALSE
"TWIN BUTTES","TX00022","24h",49,-0.297,"homogeneous","GEV",0.205,TRUE,"auto",NA,"GNO",1.656,1.451,FALSE,410.3,220.3,601.1,92.8,FALSE
"TWIN BUTTES","TX00022","72h",48,0.936,"homogeneous","GEV",0.443,TRUE,"auto",NA,"GNO",0.783,0.34,TRUE,444.7,244.6,659.6,93.3,FALSE
"CHOKE CANYON DAM","TX04425","24h",15,0.015,"homogeneous","GNO",0.36,TRUE,"auto",NA,"PE3",0.625,0.265,TRUE,152.3,96,222.6,83.1,FALSE
"CHOKE CANYON DAM","TX04425","72h",15,-0.31,"homogeneous","PE3",0.236,TRUE,"auto",NA,"GNO",1.037,0.801,FALSE,144.1,98.9,217.8,82.5,FALSE
"NEW WADDELL","AZ82929","24h",50,0.889,"homogeneous","GEV",1.978,FALSE,"auto",NA,"GLO",2.422,0.444,TRUE,222.8,128.6,330.3,90.5,TRUE
"NEW WADDELL","AZ82929","72h",50,0.82,"homogeneous","GEV",0.298,TRUE,"auto",NA,"GNO",1.378,1.08,FALSE,321,181.7,477.3,92.1,FALSE
"SEMINOE","WY01297","24h",41,0.868,"homogeneous","GLO",1.101,TRUE,"auto",NA,"GEV",1.905,0.804,FALSE,260.6,95.8,260.6,63.2,FALSE
"SEMINOE","WY01297","72h",37,0.908,"homogeneous","GEV",0.969,TRUE,"auto",NA,"GNO",1.934,0.965,FALSE,201.5,112,299.3,93,FALSE
"PATHFINDER DIKE","WY01296","24h",38,-0.04,"homogeneous","GLO",1.388,TRUE,"auto",NA,"GEV",1.909,0.521,FALSE,251.9,93.1,251.9,63,FALSE
"PATHFINDER DIKE","WY01296","72h",37,0.796,"homogeneous","GEV",0.639,TRUE,"auto",NA,"GNO",1.522,0.883,FALSE,193.2,109,288.9,93.2,FALSE
"BRANTLEY","NM00500","24h",39,0.523,"homogeneous","GEV",0.714,TRUE,"auto",NA,"GNO",1.701,0.987,FALSE,269.9,147.8,404.6,95.2,FALSE
"BRANTLEY","NM00500","72h",39,0.677,"homogeneous","GEV",0.116,TRUE,"auto",NA,"GNO",1.196,1.08,FALSE,436.8,226.3,643.8,95.6,FALSE
"BLUE MESA","CO01675","24h",40,0.828,"homogeneous","GLO",0.934,TRUE,"auto",NA,"GEV",3.226,2.292,FALSE,142.8,59.5,142.8,58.3,FALSE
"BLUE MESA","CO01675","72h",38,1.08,"acceptably homogeneous (H1 in [1,2))","GEV",1.947,FALSE,"auto",NA,"GNO",2.395,0.448,TRUE,121.1,75.9,178.4,84.6,TRUE
"UPPER KLAMATH LAKE","OR00557","24h",46,0.652,"homogeneous","GEV",1.214,TRUE,"auto",NA,"GNO",2.086,0.872,FALSE,198.5,116.1,292.6,88.9,FALSE
"UPPER KLAMATH LAKE","OR00557","72h",43,0.569,"homogeneous","GEV",2.033,FALSE,"auto",NA,"GLO",2.364,0.331,TRUE,282.4,171.8,417.8,87.1,TRUE
"JACKSON LAKE","WY01385","24h",42,0.735,"homogeneous","GEV",0.889,TRUE,"auto",NA,"GNO",1.457,0.568,FALSE,103.7,66,150.2,81.3,FALSE
"JACKSON LAKE","WY01385","72h",43,0.616,"homogeneous","GLO",1.763,FALSE,"auto",NA,"GEV",1.931,0.168,TRUE,253.8,105.8,253.8,58.3,TRUE
"FOSS RESERVOIR","OK02503","24h",35,0.406,"homogeneous","GEV",0.529,TRUE,"auto",NA,"GNO",1.459,0.93,FALSE,291.8,168.2,433.1,90.8,FALSE
"FOSS RESERVOIR","OK02503","72h",36,-1.404,"homogeneous","GLO",2.203,FALSE,"auto",NA,"GEV",2.23,0.027,TRUE,458.3,185.6,458.3,59.5,TRUE
"LAKE TAHOE","CA10162","24h",44,0.976,"homogeneous","GEV",0.334,TRUE,"auto",NA,"GNO",1.367,1.033,FALSE,364.1,205.8,537.4,91.1,FALSE
"LAKE TAHOE","CA10162","72h",42,0.419,"homogeneous","GEV",0.548,TRUE,"auto",NA,"GNO",1.649,1.101,FALSE,660.1,362.7,979.3,93.4,FALSE
"CEDAR BLUFF","KS00019","24h",43,-0.204,"homogeneous","GEV",1.038,TRUE,"auto",NA,"GNO",2.322,1.284,FALSE,294,165.1,434.1,91.5,FALSE
"CEDAR BLUFF","KS00019","72h",42,0.368,"homogeneous","GEV",0.587,TRUE,"auto",NA,"GNO",1.336,0.749,FALSE,274.5,165.9,408,88.2,FALSE
"CLE ELUM DAM","WA00274","24h",49,0.759,"homogeneous","GEV",1.284,TRUE,"auto",NA,"GLO",2.232,0.948,FALSE,357.4,204.3,524.8,89.7,FALSE
"CLE ELUM DAM","WA00274","72h",50,-0.063,"homogeneous","GLO",1.403,TRUE,"auto",NA,"GEV",2.549,1.146,FALSE,713.3,292.9,713.3,58.9,FALSE
"BUFFALO BILL","WY01300","24h",35,0.752,"homogeneous","GEV",1.091,TRUE,"auto",NA,"GNO",2.137,1.046,FALSE,155.4,86.5,229.9,92.3,FALSE
"BUFFALO BILL","WY01300","72h",30,0.671,"homogeneous","GEV",0.393,TRUE,"auto",NA,"GNO",0.617,0.224,TRUE,197.9,111.6,294.5,92.4,FALSE
"KEYHOLE","WY01380","24h",39,0.711,"homogeneous","GNO",0.104,TRUE,"auto",NA,"GEV",1.02,0.916,FALSE,185.8,110.2,285.8,94.5,FALSE
"KEYHOLE","WY01380","72h",41,0.556,"homogeneous","GEV",0.014,TRUE,"auto",NA,"GNO",0.719,0.705,FALSE,224.1,131.4,334.7,90.7,FALSE
"CLEAR LAKE DIKE 1","CA10141","24h",45,0.893,"homogeneous","GLO",0.84,TRUE,"auto",NA,"GEV",2.601,1.761,FALSE,264.3,104.4,264.3,60.5,FALSE
"CLEAR LAKE DIKE 1","CA10141","72h",43,0.748,"homogeneous","GLO",0.522,TRUE,"auto",NA,"GEV",2.684,2.162,FALSE,442,169.8,442,61.6,FALSE
"CHENEY","KS00017","24h",13,-1.601,"homogeneous","GLO",0.956,TRUE,"auto",NA,"GEV",1.153,0.197,TRUE,528.7,197.3,528.6,62.7,FALSE
"CHENEY","KS00017","72h",14,-1.438,"homogeneous","GEV",1.553,TRUE,"auto",NA,"GLO",1.801,0.248,TRUE,289.9,176.8,431,87.7,FALSE
"OSULLIVAN","WA00268","24h",41,0.896,"homogeneous","GEV",1.146,TRUE,"auto",NA,"GNO",2.005,0.859,FALSE,198.5,117.7,291,87.3,FALSE
"OSULLIVAN","WA00268","72h",42,0.697,"homogeneous","GEV",1.589,TRUE,"auto",NA,"GNO",2.279,0.69,FALSE,285.2,173.9,418.6,85.8,FALSE
"GRANBY","CO01656","24h",25,-0.149,"homogeneous","GLO",0.784,TRUE,"auto",NA,"GEV",2.388,1.604,FALSE,377.2,138.8,377.2,63.2,FALSE
"GRANBY","CO01656","72h",24,0.338,"homogeneous","GLO",0.839,TRUE,"auto",NA,"GEV",2.225,1.386,FALSE,609.9,224.2,609.9,63.2,FALSE
"PUEBLO","CO00299","24h",37,0.925,"homogeneous","GEV",0.567,TRUE,"auto",NA,"GNO",1.439,0.872,FALSE,192.3,108.6,287.1,92.8,FALSE
"PUEBLO","CO00299","72h",37,0.644,"homogeneous","GEV",1.566,TRUE,"auto",NA,"GLO",1.963,0.397,TRUE,238.3,133.3,354.9,93,FALSE
"FRIANT","CA10154","24h",35,0.741,"homogeneous","GEV",1.124,TRUE,"auto",NA,"GNO",2.039,0.915,FALSE,340.3,194.5,502.9,90.6,FALSE
"FRIANT","CA10154","72h",39,0.657,"homogeneous","GEV",0.888,TRUE,"auto",NA,"GNO",2.134,1.246,FALSE,680.1,364.8,1005.7,94.2,FALSE
"KIRWIN","KS00022","24h",42,0.436,"homogeneous","GEV",0.377,TRUE,"auto",NA,"GNO",1.602,1.225,FALSE,293.2,166.2,433,91,FALSE
"KIRWIN","KS00022","72h",41,0.314,"homogeneous","GEV",0.938,TRUE,"auto",NA,"GNO",1.51,0.572,FALSE,263.7,162.6,390.7,86.5,FALSE
"ANDERSON RANCH","ID00279","24h",34,0.734,"homogeneous","GEV",0.742,TRUE,"auto",NA,"GNO",1.485,0.743,FALSE,117.5,70.8,172.7,86.7,FALSE
"ANDERSON RANCH","ID00279","72h",45,0.76,"homogeneous","GEV",1.797,FALSE,"auto",NA,"GNO",2.508,0.711,TRUE,175.1,106.4,257.9,86.5,TRUE
"LEMON","CO01688","24h",41,0.725,"homogeneous","GEV",0.245,TRUE,"auto",NA,"GNO",0.856,0.611,FALSE,114,70,168.2,86.2,FALSE
"LEMON","CO01688","72h",42,0.915,"homogeneous","GLO",2.419,FALSE,"auto",NA,"GEV",2.824,0.405,TRUE,185.3,82.6,185.3,55.5,TRUE
"SHADEHILL DIKE NO. 2","SD01141","24h",40,0.076,"homogeneous","GEV",0.352,TRUE,"auto",NA,"GNO",1.194,0.842,FALSE,194.6,114.1,290,90.4,FALSE
"SHADEHILL DIKE NO. 2","SD01141","72h",42,0.494,"homogeneous","GEV",1.422,TRUE,"auto",NA,"GNO",1.938,0.516,FALSE,208.4,127.3,310.8,88,FALSE
"HERON","NM00122","24h",45,0.154,"homogeneous","GNO",0.375,TRUE,"auto",NA,"GEV",0.4,0.025,TRUE,117.8,71.4,174.7,87.7,FALSE
"HERON","NM00122","72h",44,0.718,"homogeneous","GEV",1.787,FALSE,"auto",NA,"GNO",2.136,0.349,TRUE,134.8,85.7,199.1,84.1,TRUE
"FONTENELLE","WY01389","24h",37,0.537,"homogeneous","GEV",1.404,TRUE,"auto",NA,"GNO",2.303,0.899,FALSE,108.8,63.4,160.2,89,FALSE
"FONTENELLE","WY01389","72h",38,0.776,"homogeneous","GLO",1.277,TRUE,"auto",NA,"GEV",2.5,1.223,FALSE,209,84.7,209,59.5,FALSE
"WEBSTER","KS00025","24h",43,0.265,"homogeneous","GEV",0.693,TRUE,"auto",NA,"GNO",2.076,1.383,FALSE,313.3,173.7,460,91.4,FALSE
"WEBSTER","KS00025","72h",43,0.186,"homogeneous","GEV",0.716,TRUE,"auto",NA,"GNO",1.43,0.714,FALSE,269.5,164,399.4,87.3,FALSE
"MCPHEE","CO02707","24h",40,0.537,"homogeneous","GEV",1.291,TRUE,"auto",NA,"GNO",2.09,0.799,FALSE,119.7,71.3,176.6,87.9,FALSE
"MCPHEE","CO02707","72h",41,0.725,"homogeneous","GLO",1.78,FALSE,"auto",NA,"GEV",2.675,0.895,TRUE,202.4,84.9,202.4,58,TRUE
"TWITCHELL","CA10197","24h",11,0.028,"homogeneous","GNO",0.194,TRUE,"auto",NA,"GEV",0.788,0.594,FALSE,289.6,166.4,463.7,102.6,FALSE
"TWITCHELL","CA10197","72h",11,0.069,"homogeneous","GNO",0.368,TRUE,"auto",NA,"PE3",1.045,0.677,FALSE,463,269.7,777.4,109.6,FALSE
"EMIGRANT","OR00581","24h",45,0.805,"homogeneous","GEV",0.784,TRUE,"auto",NA,"GNO",1.723,0.939,FALSE,236.1,136.4,347.8,89.6,FALSE
"EMIGRANT","OR00581","72h",40,0.763,"homogeneous","GEV",0.878,TRUE,"auto",NA,"GNO",1.236,0.358,TRUE,323.9,203.3,480,85.4,FALSE
"JAMESTOWN DAM","ND00151","24h",7,-0.494,"homogeneous","PE3",0.365,TRUE,"auto",NA,"GNO",0.653,0.288,TRUE,198.6,133.6,346.9,107.4,FALSE
"JAMESTOWN DAM","ND00151","72h",7,0.231,"homogeneous","GEV",0.302,TRUE,"auto",NA,"GNO",0.712,0.41,TRUE,255.9,149.1,379.9,90.2,FALSE
"CABALLO","NM00131","24h",39,-0.199,"homogeneous","GEV",0.127,TRUE,"auto",NA,"GNO",0.592,0.465,TRUE,155.3,91,232.5,91.1,FALSE
"CABALLO","NM00131","72h",36,0.647,"homogeneous","GEV",0.847,TRUE,"auto",NA,"GNO",1.157,0.31,TRUE,170.1,105,255.3,88.4,FALSE
"BOR JORDANELLE","UT10204","24h",42,0.935,"homogeneous","GLO",1.95,FALSE,"auto",NA,"GEV",2.654,0.704,TRUE,167.9,73.7,167.9,56.1,TRUE
"BOR JORDANELLE","UT10204","72h",42,0.858,"homogeneous","GLO",0.236,TRUE,"auto",NA,"GEV",4.1,3.864,FALSE,231.1,101.5,231.1,56.1,FALSE
"NORMAN","OK02504","24h",15,0.015,"homogeneous","GNO",0.36,TRUE,"auto",NA,"PE3",0.625,0.265,TRUE,152.3,96,222.6,83.1,FALSE
"NORMAN","OK02504","72h",15,-0.31,"homogeneous","PE3",0.236,TRUE,"auto",NA,"GNO",1.037,0.801,FALSE,144.1,98.9,217.8,82.5,FALSE
"TRENTON DAM","NE01078","24h",28,0.798,"homogeneous","GEV",1.103,TRUE,"auto",NA,"GNO",2.032,0.929,FALSE,270.7,153,400.7,91.5,FALSE
"TRENTON DAM","NE01078","72h",30,0.854,"homogeneous","GEV",1.331,TRUE,"auto",NA,"GNO",2.001,0.67,FALSE,268,159.8,398.6,89.1,FALSE
"BONNY","CO01300","24h",31,-1.793,"homogeneous","GEV",1.36,TRUE,"auto",NA,"GNO",2.226,0.866,FALSE,230.3,132.2,342.4,91.3,FALSE
"BONNY","CO01300","72h",32,0.003,"homogeneous","GEV",0.398,TRUE,"auto",NA,"GNO",0.846,0.448,TRUE,225.1,138,336.3,88.1,FALSE
"CLARK CANYON","MT00569","24h",47,0.591,"homogeneous","GLO",2.077,FALSE,"auto",NA,"GEV",2.962,0.885,TRUE,153.1,63.9,153.1,58.3,TRUE
"CLARK CANYON","MT00569","72h",42,0.761,"homogeneous","GNO",2.465,FALSE,"auto",NA,"GEV",2.501,0.036,TRUE,117.7,74.2,162.9,75.3,TRUE
"FT COBB LAKE","OK02502","24h",14,0.693,"homogeneous","GEV",0.712,TRUE,"auto",NA,"GNO",1.216,0.504,FALSE,281.8,166.9,418.9,89.4,FALSE
"FT COBB LAKE","OK02502","72h",15,-1.121,"homogeneous","GLO",0.836,TRUE,"auto",NA,"GEV",1.998,1.162,FALSE,459.8,188.5,459.8,59,FALSE
"CASITAS","CA10139","24h",45,-0.366,"homogeneous","GNO",0.006,TRUE,"auto",NA,"GEV",1.057,1.051,FALSE,388.2,222.7,617.9,101.8,FALSE
"CASITAS","CA10139","72h",47,-1.392,"homogeneous","PE3",0.37,TRUE,"auto",NA,"GNO",2.307,1.937,FALSE,529.8,365.9,1055.2,130.1,FALSE
"HORSE MESA","AZ10311","24h",48,0.29,"homogeneous","GLO",1.371,TRUE,"auto",NA,"GEV",3.08,1.709,FALSE,303.6,121.9,303.6,59.8,FALSE
"HORSE MESA","AZ10311","72h",48,0.978,"homogeneous","GEV",0.115,TRUE,"auto",NA,"GNO",0.979,0.864,FALSE,327.8,185.3,486.6,91.9,FALSE
"BARTLETT","AZ10308","24h",45,0.187,"homogeneous","GEV",1.973,FALSE,"auto",NA,"GLO",2.648,0.675,TRUE,205.5,122.8,305.4,88.8,TRUE
"BARTLETT","AZ10308","72h",47,0.353,"homogeneous","GEV",0.819,TRUE,"auto",NA,"GNO",1.911,1.092,FALSE,336.7,190.5,500,91.9,FALSE
"KACHESS DAM","WA00260","24h",48,0.653,"homogeneous","GEV",1.286,TRUE,"auto",NA,"GNO",2.297,1.011,FALSE,356.1,204.4,523.7,89.7,FALSE
"KACHESS DAM","WA00260","72h",50,-0.027,"homogeneous","GLO",1.418,TRUE,"auto",NA,"GEV",2.6,1.182,FALSE,713.3,292.9,713.3,58.9,FALSE
"WHISKEYTOWN","CA10204","24h",44,0.964,"homogeneous","GLO",1.57,TRUE,"auto",NA,"GEV",2.796,1.226,FALSE,389.1,164.2,389.1,57.8,FALSE
"WHISKEYTOWN","CA10204","72h",42,0.901,"homogeneous","GEV",2.027,FALSE,"auto",NA,"GNO",2.494,0.467,TRUE,478.9,292.3,714.8,88.2,TRUE
"ARTHUR R. BOWMAN","OR00579","24h",34,0.639,"homogeneous","GNO",0.467,TRUE,"auto",NA,"GEV",0.512,0.045,TRUE,146.6,88.1,228.9,96,FALSE
"ARTHUR R. BOWMAN","OR00579","72h",37,0.832,"homogeneous","GLO",1.038,TRUE,"auto",NA,"GEV",1.857,0.819,FALSE,337.4,127.8,337.4,62.1,FALSE
"SUMNER","NM00130","24h",43,0.876,"homogeneous","GEV",0.293,TRUE,"auto",NA,"GNO",1.46,1.167,FALSE,247.1,136.9,367.2,93.2,FALSE
"SUMNER","NM00130","72h",46,-0.067,"homogeneous","GEV",0.551,TRUE,"auto",NA,"GNO",1.928,1.377,FALSE,351.1,187.8,517.3,93.8,FALSE
"STAMPEDE","CA10192","24h",39,0.665,"homogeneous","GEV",0.166,TRUE,"auto",NA,"GNO",0.956,0.79,FALSE,374.8,209.8,551.9,91.3,FALSE
"STAMPEDE","CA10192","72h",41,0.491,"homogeneous","GEV",0.441,TRUE,"auto",NA,"GNO",1.649,1.208,FALSE,671.3,366.3,993.1,93.4,FALSE
"ARBUCKLE","OK02501","24h",15,0.015,"homogeneous","GNO",0.36,TRUE,"auto",NA,"PE3",0.625,0.265,TRUE,152.3,96,222.6,83.1,FALSE
"ARBUCKLE","OK02501","72h",15,-0.31,"homogeneous","PE3",0.236,TRUE,"auto",NA,"GNO",1.037,0.801,FALSE,144.1,98.9,217.8,82.5,FALSE
