"site","site_id","duration","n_stations","H1","homog_status","chosen_dist","chosen_absZ","Z_acceptable","selection_source","reviewer","runner_up","runner_up_absZ","z_margin","review_recommended","depth_10k_mm","tail_min_10k_mm","tail_max_10k_mm","tail_spread_pct","needs_review"
"HUNGRY HORSE","MT00565","72h",42,0.546,"homogeneous","GEV",0.639,TRUE,"auto",NA,"GNO",1.64,1.001,FALSE,257.2,149.7,377.8,88.7,FALSE
"DWORSHAK DAM AND RESERVOIR","ID00287","24h",48,0.879,"homogeneous","GLO",1.185,TRUE,"auto",NA,"GEV",3.339,2.154,FALSE,207.9,89.2,207.9,57.1,FALSE
"DWORSHAK DAM AND RESERVOIR","ID00287","72h",51,0.144,"homogeneous","GLO",1.236,TRUE,"auto",NA,"GEV",3.697,2.461,FALSE,291.4,128.8,291.4,55.8,FALSE
"OROVILLE","CA00035","24h",51,0.708,"homogeneous","GEV",0.537,TRUE,"auto",NA,"GNO",1.59,1.053,FALSE,401.3,235.8,592.1,88.8,FALSE
"OROVILLE","CA00035","72h",51,0.782,"homogeneous","GEV",0.959,TRUE,"auto",NA,"GNO",2.276,1.317,FALSE,834.9,462.7,1237.3,92.8,FALSE
"TABLE ROCK DAM","MO30202","24h",5,0.445,"homogeneous","GLO",0.106,TRUE,"auto",NA,"GEV",0.733,0.627,FALSE,657,254,657,61.3,FALSE
"TABLE ROCK DAM","MO30202","72h",5,-1.124,"homogeneous","GLO",0.211,TRUE,"auto",NA,"GEV",0.621,0.41,TRUE,860.6,333.3,860.6,61.3,FALSE
"HARTWELL DAM","GA01702","24h",41,0.684,"homogeneous","GEV",0.339,TRUE,"auto",NA,"GNO",1.393,1.054,FALSE,397.7,230.1,581.7,88.4,FALSE
"HARTWELL DAM","GA01702","72h",39,0.698,"homogeneous","GEV",0.988,TRUE,"auto",NA,"GNO",2.029,1.041,FALSE,525.7,302.7,766.2,88.2,FALSE
"THEODORE ROOSEVELT","AZ10317","24h",47,-0.088,"homogeneous","GLO",1.506,TRUE,"auto",NA,"GEV",2.788,1.282,FALSE,303,121.3,303,60,FALSE
"THEODORE ROOSEVELT","AZ10317","72h",47,0.357,"homogeneous","GEV",0.149,TRUE,"auto",NA,"GNO",1.217,1.068,FALSE,322.8,182.5,479,91.9,FALSE
"LOWER RED LAKE DAM","MN00573","24h",15,0.015,"homogeneous","GNO",0.36,TRUE,"auto",NA,"PE3",0.625,0.265,TRUE,152.3,96,222.6,83.1,FALSE
"LOWER RED LAKE DAM","MN00573","72h",15,-0.31,"homogeneous","PE3",0.236,TRUE,"auto",NA,"GNO",1.037,0.801,FALSE,144.1,98.9,217.8,82.5,FALSE
"MANSFIELD DAM","TX01087","24h",8,0.068,"homogeneous","GLO",0.467,TRUE,"auto",NA,"GEV",0.768,0.301,TRUE,697,257.1,697,63.1,FALSE
"MANSFIELD DAM","TX01087","72h",8,-0.616,"homogeneous","GEV",0.407,TRUE,"auto",NA,"GLO",0.72,0.313,TRUE,689.1,361.8,1015,94.8,FALSE
"FALCON","TX00024","24h",9,-0.071,"homogeneous","GLO",1.023,TRUE,"auto",NA,"GEV",1.813,0.79,FALSE,1025.4,357.2,1025.4,65.2,FALSE
"FALCON","TX00024","72h",8,-0.078,"homogeneous","GLO",0.046,TRUE,"auto",NA,"GEV",0.577,0.531,FALSE,1827.1,600,1827.1,67.2,FALSE
"SARDIS DAM","MS01493","24h",15,0.015,"homogeneous","GNO",0.36,TRUE,"auto",NA,"PE3",0.625,0.265,TRUE,152.3,96,222.6,83.1,FALSE
"SARDIS DAM","MS01493","72h",15,-0.31,"homogeneous","PE3",0.236,TRUE,"auto",NA,"GNO",1.037,0.801,FALSE,144.1,98.9,217.8,82.5,FALSE
"PUMPING STATION NO. 8","FL00343","24h",15,0.015,"homogeneous","GNO",0.36,TRUE,"auto",NA,"PE3",0.625,0.265,TRUE,152.3,96,222.6,83.1,FALSE
"PUMPING STATION NO. 8","FL00343","72h",15,-0.31,"homogeneous","PE3",0.236,TRUE,"auto",NA,"GNO",1.037,0.801,FALSE,144.1,98.9,217.8,82.5,FALSE
"STRUCTURE 333","FL00681","24h",15,0.015,"homogeneous","GNO",0.36,TRUE,"auto",NA,"PE3",0.625,0.265,TRUE,152.3,96,222.6,83.1,FALSE
"STRUCTURE 333","FL00681","72h",15,-0.31,"homogeneous","PE3",0.236,TRUE,"auto",NA,"GNO",1.037,0.801,FALSE,144.1,98.9,217.8,82.5,FALSE
"GRENADA DAM","MS01494","24h",15,0.015,"homogeneous","GNO",0.36,TRUE,"auto",NA,"PE3",0.625,0.265,TRUE,152.3,96,222.6,83.1,FALSE
"GRENADA DAM","MS01494","72h",15,-0.31,"homogeneous","PE3",0.236,TRUE,"auto",NA,"GNO",1.037,0.801,FALSE,144.1,98.9,217.8,82.5,FALSE
"OSAGE","MO30014","24h",15,0.015,"homogeneous","GNO",0.36,TRUE,"auto",NA,"PE3",0.625,0.265,TRUE,152.3,96,222.6,83.1,FALSE
"OSAGE","MO30014","72h",15,-0.31,"homogeneous","PE3",0.236,TRUE,"auto",NA,"GNO",1.037,0.801,FALSE,144.1,98.9,217.8,82.5,FALSE
"ELEPHANT BUTTE","NM00129","24h",42,0.398,"homogeneous","GEV",0.778,TRUE,"auto",NA,"GNO",1.681,0.903,FALSE,162.8,93.5,242.8,91.7,FALSE
"ELEPHANT BUTTE","NM00129","72h",40,0.912,"homogeneous","GEV",1.925,FALSE,"auto",NA,"GLO",2.368,0.443,TRUE,179.5,107.3,269,90.1,TRUE
"ST. STEPHEN POWERHOUSE","SC82201","24h",15,0.015,"homogeneous","GNO",0.36,TRUE,"auto",NA,"PE3",0.625,0.265,TRUE,152.3,96,222.6,83.1,FALSE
"ST. STEPHEN POWERHOUSE","SC82201","72h",15,-0.31,"homogeneous","PE3",0.236,TRUE,"auto",NA,"GNO",1.037,0.801,FALSE,144.1,98.9,217.8,82.5,FALSE
"BUFORD","GA00824","24h",18,0.149,"homogeneous","GEV",0.32,TRUE,"auto",NA,"GNO",1.027,0.707,FALSE,439.6,255.8,644.4,88.4,FALSE
"BUFORD","GA00824","72h",18,0.452,"homogeneous","GEV",0.391,TRUE,"auto",NA,"GNO",1.136,0.745,FALSE,556.2,324.4,811.9,87.6,FALSE
"JOHN DAY LOCK AND DAM","OR00011","24h",49,0.899,"homogeneous","GEV",1.814,FALSE,"auto",NA,"GLO",1.891,0.077,TRUE,287.4,165.2,421.1,89.1,TRUE
"JOHN DAY LOCK AND DAM","OR00011","72h",47,0.764,"homogeneous","GLO",0.825,TRUE,"auto",NA,"GEV",2.875,2.05,FALSE,639.8,258.1,639.8,59.7,FALSE
"TRINITY","CA10196","24h",42,0.823,"homogeneous","GEV",2.134,FALSE,"auto",NA,"GNO",2.513,0.379,TRUE,241.1,152.3,355.8,84.4,TRUE
"TRINITY","CA10196","72h",41,0.866,"homogeneous","GEV",1.439,TRUE,"auto",NA,"GNO",1.789,0.35,TRUE,425.3,265.1,633.1,86.5,FALSE
"SANFORD","TX00023","24h",44,0.053,"homogeneous","GEV",1.995,FALSE,"auto",NA,"GLO",2.198,0.203,TRUE,266.3,152.7,395.5,91.1,TRUE
"SANFORD","TX00023","72h",43,-1.797,"homogeneous","GEV",1.862,FALSE,"auto",NA,"GNO",2.575,0.713,TRUE,291.4,173.1,434.7,89.8,TRUE
"MENASHA GENLAWS","WI00814","24h",15,0.015,"homogeneous","GNO",0.36,TRUE,"auto",NA,"PE3",0.625,0.265,TRUE,152.3,96,222.6,83.1,FALSE
"MENASHA GENLAWS","WI00814","72h",15,-0.31,"homogeneous","PE3",0.236,TRUE,"auto",NA,"GNO",1.037,0.801,FALSE,144.1,98.9,217.8,82.5,FALSE
"NEW MELONES","CA10246","24h",46,0.369,"homogeneous","GEV",0.275,TRUE,"auto",NA,"GNO",1.401,1.126,FALSE,368.3,208.8,543.1,90.8,FALSE
"NEW MELONES","CA10246","72h",44,0.659,"homogeneous","GEV",0.248,TRUE,"auto",NA,"GNO",1.432,1.184,FALSE,669.4,367.4,993.4,93.5,FALSE
"DON PEDRO MAIN","CA00281","24h",47,0.425,"homogeneous","GEV",0.527,TRUE,"auto",NA,"GNO",1.651,1.124,FALSE,353.8,201.1,522.3,90.8,FALSE
"DON PEDRO MAIN","CA00281","72h",45,0.827,"homogeneous","GEV",0.418,TRUE,"auto",NA,"GNO",1.587,1.169,FALSE,641.4,353.6,953.1,93.5,FALSE
"TUTTLE CREEK DAM","KS00012","24h",15,0.015,"homogeneous","GNO",0.36,TRUE,"auto",NA,"PE3",0.625,0.265,TRUE,152.3,96,222.6,83.1,FALSE
"TUTTLE CREEK DAM","KS00012","72h",15,-0.31,"homogeneous","PE3",0.236,TRUE,"auto",NA,"GNO",1.037,0.801,FALSE,144.1,98.9,217.8,82.5,FALSE
"WHITNEY LAKE","TX00017","24h",15,0.015,"homogeneous","GNO",0.36,TRUE,"auto",NA,"PE3",0.625,0.265,TRUE,152.3,96,222.6,83.1,FALSE
"WHITNEY LAKE","TX00017","72h",15,-0.31,"homogeneous","PE3",0.236,TRUE,"auto",NA,"GNO",1.037,0.801,FALSE,144.1,98.9,217.8,82.5,FALSE
"BARKLEY DAM","KY03001","24h",15,0.015,"homogeneous","GNO",0.36,TRUE,"auto",NA,"PE3",0.625,0.265,TRUE,152.3,96,222.6,83.1,FALSE
"BARKLEY DAM","KY03001","72h",15,-0.31,"homogeneous","PE3",0.236,TRUE,"auto",NA,"GNO",1.037,0.801,FALSE,144.1,98.9,217.8,82.5,FALSE
"CANYON FERRY","MT00568","24h",41,0.808,"homogeneous","GNO",0.098,TRUE,"auto",NA,"GEV",0.879,0.781,FALSE,141.2,84.8,217.9,94.3,FALSE
"CANYON FERRY","MT00568","72h",40,0.954,"homogeneous","GEV",0.551,TRUE,"auto",NA,"GNO",1.362,0.811,FALSE,181.6,107.1,268.8,89,FALSE
"LIVINGSTON DAM","TX03823","24h",15,0.015,"homogeneous","GNO",0.36,TRUE,"auto",NA,"PE3",0.625,0.265,TRUE,152.3,96,222.6,83.1,FALSE
"LIVINGSTON DAM","TX03823","72h",15,-0.31,"homogeneous","PE3",0.236,TRUE,"auto",NA,"GNO",1.037,0.801,FALSE,144.1,98.9,217.8,82.5,FALSE
"B. F. SISK","CA10183","24h",27,-0.274,"homogeneous","GEV",0.835,TRUE,"auto",NA,"GNO",1.761,0.926,FALSE,360.7,206.2,530.8,90,FALSE
"B. F. SISK","CA10183","72h",27,-0.983,"homogeneous","GEV",1.376,TRUE,"auto",NA,"GLO",1.59,0.214,TRUE,678.2,371.4,1002.3,93,FALSE
"FERRELLS BRIDGE DAM","TX00020","24h",15,0.015,"homogeneous","GNO",0.36,TRUE,"auto",NA,"PE3",0.625,0.265,TRUE,152.3,96,222.6,83.1,FALSE
"FERRELLS BRIDGE DAM","TX00020","72h",15,-0.31,"homogeneous","PE3",0.236,TRUE,"auto",NA,"GNO",1.037,0.801,FALSE,144.1,98.9,217.8,82.5,FALSE
"NAVAJO","NM00120","24h",42,0.45,"homogeneous","GEV",0.537,TRUE,"auto",NA,"GNO",1.276,0.739,FALSE,121,72.6,179.1,88.1,FALSE
"NAVAJO","NM00120","72h",40,0.7,"homogeneous","GLO",2.192,FALSE,"auto",NA,"GEV",2.722,0.53,TRUE,196.7,85.8,196.7,56.4,TRUE
"NORFORK","AR00159","24h",5,0.458,"homogeneous","GLO",0.086,TRUE,"auto",NA,"GEV",0.768,0.682,FALSE,657,254,657,61.3,FALSE
"NORFORK","AR00159","72h",5,-1.126,"homogeneous","GLO",0.21,TRUE,"auto",NA,"GEV",0.619,0.409,TRUE,860.6,333.3,860.6,61.3,FALSE
"BEAVER","AR00174","24h",5,0.443,"homogeneous","GLO",0.089,TRUE,"auto",NA,"GEV",0.778,0.689,FALSE,657,254,657,61.3,FALSE
"BEAVER","AR00174","72h",5,-1.176,"homogeneous","GLO",0.184,TRUE,"auto",NA,"GEV",0.641,0.457,TRUE,860.6,333.3,860.6,61.3,FALSE
"RAY ROBERTS DAM","TX08008","24h",15,0.015,"homogeneous","GNO",0.36,TRUE,"auto",NA,"PE3",0.625,0.265,TRUE,152.3,96,222.6,83.1,FALSE
"RAY ROBERTS DAM","TX08008","72h",15,-0.31,"homogeneous","PE3",0.236,TRUE,"auto",NA,"GNO",1.037,0.801,FALSE,144.1,98.9,217.8,82.5,FALSE
"KINGSLEY","NE01048","24h",27,-0.016,"homogeneous","GLO",0.778,TRUE,"auto",NA,"GEV",2.602,1.824,FALSE,336.2,130.1,336.2,61.3,FALSE
"KINGSLEY","NE01048","72h",28,0.784,"homogeneous","GLO",1.718,FALSE,"auto",NA,"GEV",2.456,0.738,TRUE,328.8,136.3,328.8,58.5,TRUE
"BIG BEND DAM","SD01092","24h",26,-0.102,"homogeneous","GEV",1.494,TRUE,"auto",NA,"GNO",1.996,0.502,FALSE,198,120.1,293.9,87.8,FALSE
"BIG BEND DAM","SD01092","72h",26,-1.446,"homogeneous","GNO",0.051,TRUE,"auto",NA,"GEV",0.247,0.196,TRUE,219.8,134.9,315.2,82,FALSE
"MOSSYROCK","WA00151","24h",51,0.786,"homogeneous","GEV",1.4,TRUE,"auto",NA,"GNO",2.179,0.779,FALSE,355.5,212.7,522.3,87.1,FALSE
"MOSSYROCK","WA00151","72h",51,0.678,"homogeneous","GLO",1.585,TRUE,"auto",NA,"GEV",2.614,1.029,FALSE,784.5,329.8,784.5,58,FALSE
"BELTON LAKE","TX00002","24h",15,0.015,"homogeneous","GNO",0.36,TRUE,"auto",NA,"PE3",0.625,0.265,TRUE,152.3,96,222.6,83.1,FALSE
"BELTON LAKE","TX00002","72h",15,-0.31,"homogeneous","PE3",0.236,TRUE,"auto",NA,"GNO",1.037,0.801,FALSE,144.1,98.9,217.8,82.5,FALSE
"CLARENCE CANNON DAM","MO82201","24h",15,0.015,"homogeneous","GNO",0.36,TRUE,"auto",NA,"PE3",0.625,0.265,TRUE,152.3,96,222.6,83.1,FALSE
"CLARENCE CANNON DAM","MO82201","72h",15,-0.31,"homogeneous","PE3",0.236,TRUE,"auto",NA,"GNO",1.037,0.801,FALSE,144.1,98.9,217.8,82.5,FALSE
"LEWISVILLE LAKE","TX00008","24h",15,0.015,"homogeneous","GNO",0.36,TRUE,"auto",NA,"PE3",0.625,0.265,TRUE,152.3,96,222.6,83.1,FALSE
"LEWISVILLE LAKE","TX00008","72h",15,-0.31,"homogeneous","PE3",0.236,TRUE,"auto",NA,"GNO",1.037,0.801,FALSE,144.1,98.9,217.8,82.5,FALSE
"KERR","MT00226","24h",42,0.575,"homogeneous","GEV",1.768,FALSE,"auto",NA,"GLO",2.475,0.707,TRUE,136.8,83,201,86.3,TRUE
