facility_id,name,state,latitude,longitude,coverage,climate_region,elev_proxy_m,elev_band,stratum,is_bor,join_via,draw_reason
OR00544,FROG LAKE DAM A,OR,45.093774,-122.044136,"NONE (NOAA Atlas 2, 1973)",Northwest,341.4,300-900 m,"NONE (NOAA Atlas 2, 1973) | Northwest | 300-900 m",False,unique_name,pilot: coverage-class breadth
HI00015,KANEHA RESERVOIR,HI,22.131118,-159.371343,Vol 4 Hawaiian Islands,Hawaii,246.9,lowland <300 m,Vol 4 Hawaiian Islands | Hawaii | lowland <300 m,False,unique_name,pilot: coverage-class breadth
HI00102,IOLEAU RESERVOIR,HI,21.900026,-159.534513,Vol 4 Hawaiian Islands,Hawaii,160.3,lowland <300 m,Vol 4 Hawaiian Islands | Hawaii | lowland <300 m,False,site_id,pilot: coverage-class breadth
HI00124,KANEOHE DAM,HI,21.391227,-157.804756,Vol 4 Hawaiian Islands,Hawaii,81.7,lowland <300 m,Vol 4 Hawaiian Islands | Hawaii | lowland <300 m,False,unique_name,pilot: coverage-class breadth
CA00214,COPPER BASIN,CA,34.279,-114.2227,Vol 6 California,West,224.9,lowland <300 m,Vol 6 California | West | lowland <300 m,False,unique_name,pilot: coverage-class breadth
CA00742,LINDERO,CA,34.1475,-118.7875,Vol 6 California,West,325.5,300-900 m,Vol 6 California | West | 300-900 m,False,site_id,pilot: coverage-class breadth
CA10164,LAURO,CA,34.4542,-119.7272,Vol 6 California,West,247.2,lowland <300 m,Vol 6 California | West | lowland <300 m,True,unique_name,pilot: BOR-overlap subsample
CA10170,MONTICELLO,CA,38.5134,-122.1043,Vol 6 California,West,156.1,lowland <300 m,Vol 6 California | West | lowland <300 m,True,unique_name,pilot: BOR-overlap subsample
CA10174,NIMBUS,CA,38.6362,-121.2197,Vol 6 California,West,59.1,lowland <300 m,Vol 6 California | West | lowland <300 m,True,unique_name,pilot: BOR-overlap subsample
AK00027,SOLOMON GULCH,AK,61.073407,-146.302609,Vol 7 Alaska,Alaska,167.6,lowland <300 m,Vol 7 Alaska | Alaska | lowland <300 m,False,unique_name,pilot: coverage-class breadth
AK00189,LOWER FIRE LAKE DAM,AK,61.3505,-149.551,Vol 7 Alaska,Alaska,78.0,lowland <300 m,Vol 7 Alaska | Alaska | lowland <300 m,False,unique_name,pilot: coverage-class breadth
MI00495,ALBION DAM,MI,42.239132,-84.749374,Vol 8 Midwestern States,Upper Midwest,285.0,lowland <300 m,Vol 8 Midwestern States | Upper Midwest | lowland <300 m,False,unique_name,pilot: coverage-class breadth
OK02134,SCS-QUAPAW CREEK SITE-01,OK,35.610382,-96.814879,Vol 8 Midwestern States,South,290.8,lowland <300 m,Vol 8 Midwestern States | South | lowland <300 m,False,unique_name,pilot: coverage-class breadth
SD01139,PACTOLA DAM,SD,44.0772,-103.4896,Vol 8 Midwestern States,Northern Rockies & Plains,1438.7,900-1800 m,Vol 8 Midwestern States | Northern Rockies & Plains | 900-1800 m,True,unique_name,pilot: BOR-overlap subsample
SD01503,SD NONAME 247,SD,44.148784,-101.395877,Vol 8 Midwestern States,Northern Rockies & Plains,641.0,300-900 m,Vol 8 Midwestern States | Northern Rockies & Plains | 300-900 m,False,unique_name,pilot: coverage-class breadth
AL00040,LAKE TANNER DAM,AL,31.81,-86.54167,Vol 9 Southeastern States,Southeast,104.2,lowland <300 m,Vol 9 Southeastern States | Southeast | lowland <300 m,False,unique_name,pilot: coverage-class breadth
AL01075,BLUE EYE CREEK W/S DAM SITE 1,AL,33.6417,-86.0617,Vol 9 Southeastern States,Southeast,155.4,lowland <300 m,Vol 9 Southeastern States | Southeast | lowland <300 m,False,unique_name,pilot: coverage-class breadth
